Modelo;Threshold;Precisão;Revocação;F1-score;Selecionadas;Cobertura
KNN;0.62;0.5940912010276173;0.17145505097312327;0.26611047180667435;1557;0.11100021387324446
KNN;0.63;0.5940912010276173;0.17145505097312327;0.26611047180667435;1557;0.11100021387324446
KNN;0.64;0.5940912010276173;0.17145505097312327;0.26611047180667435;1557;0.11100021387324446
KNN;0.65;0.6333333333333333;0.1267840593141798;0.21127413127413128;1080;0.07699436800456264
KNN;0.66;0.6333333333333333;0.1267840593141798;0.21127413127413128;1080;0.07699436800456264
KNN;0.67;0.6333333333333333;0.1267840593141798;0.21127413127413128;1080;0.07699436800456264
KNN;0.68;0.6443514644351465;0.08563484708063021;0.1511780104712042;717;0.051115705425251304
KNN;0.69;0.6443514644351465;0.08563484708063021;0.1511780104712042;717;0.051115705425251304
KNN;0.7;0.6443514644351465;0.08563484708063021;0.1511780104712042;717;0.051115705425251304
KNN;0.71;0.6626746506986028;0.06153846153846154;0.11261872455902307;501;0.035716831824338775
KNN;0.72;0.6626746506986028;0.06153846153846154;0.11261872455902307;501;0.035716831824338775
KNN;0.73;0.6626746506986028;0.06153846153846154;0.11261872455902307;501;0.035716831824338775
KNN;0.74;0.6626746506986028;0.06153846153846154;0.11261872455902307;501;0.035716831824338775
KNN;0.75;0.6887608069164265;0.04430027803521779;0.08324625566004876;347;0.02473800527554003
KNN;0.76;0.6887608069164265;0.04430027803521779;0.08324625566004876;347;0.02473800527554003
KNN;0.77;0.6887608069164265;0.04430027803521779;0.08324625566004876;347;0.02473800527554003
KNN;0.78;0.7022222222222222;0.02928637627432808;0.056227758007117434;225;0.01604049333428388
KNN;0.79;0.7022222222222222;0.02928637627432808;0.056227758007117434;225;0.01604049333428388
KNN;0.8;0.7022222222222222;0.02928637627432808;0.056227758007117434;225;0.01604049333428388
KNN;0.81;0.6688311688311688;0.019091751621872103;0.0371238060911876;154;0.010978826548798745
KNN;0.82;0.6688311688311688;0.019091751621872103;0.0371238060911876;154;0.010978826548798745
KNN;0.83;0.6688311688311688;0.019091751621872103;0.0371238060911876;154;0.010978826548798745
KNN;0.84;0.703125;0.008341056533827619;0.01648653599560359;64;0.004562629215085193
KNN;0.85;0.703125;0.008341056533827619;0.01648653599560359;64;0.004562629215085193
KNN;0.86;0.703125;0.008341056533827619;0.01648653599560359;64;0.004562629215085193
KNN;0.87;0.703125;0.008341056533827619;0.01648653599560359;64;0.004562629215085193
KNN;0.88;0.7567567567567568;0.005189990732159407;0.010309278350515464;37;0.002637770014971127
KNN;0.89;0.7567567567567568;0.005189990732159407;0.010309278350515464;37;0.002637770014971127
KNN;0.9;0.7567567567567568;0.005189990732159407;0.010309278350515464;37;0.002637770014971127
KNN;0.91;0.7777777777777778;0.0025949953660797036;0.005172732311102901;18;0.0012832394667427105
KNN;0.92;0.7777777777777778;0.0025949953660797036;0.005172732311102901;18;0.0012832394667427105
