Feature transformada;Coeficiente;Exp(Coeficiente);Magnitude
cat__Cidade_Montes Claros;-0.21049551232688526;0.8101826909802698;0.21049551232688526
cat__Cidade_Araraquara;-0.20950015116630522;0.8109895168387942;0.20950015116630522
cat__UF_PB;-0.207258737904365;0.8128093181987022;0.207258737904365
cat__Como Comprou Contratou_Stand, feiras e eventos;-0.20706782457214898;0.812964509147635;0.20706782457214898
cat__Problema_Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;0.20648815403918294;1.2293531712613093;0.20648815403918294
cat__Assunto_Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);-0.20576427038718814;0.8140249434523846;0.20576427038718814
cat__Assunto_Investimentos / Aplicações / Câmbio / Previdência Privada;0.2005118280716035;1.222028066390032;0.2005118280716035
cat__Cidade_Recife;0.19965023879606952;1.220975633561153;0.19965023879606952
cat__Problema_Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;-0.19962427841891048;0.819038425687015;0.19962427841891048
cat__Cidade_Diamantina;-0.1986130742916943;0.8198670596118319;0.1986130742916943
cat__Cidade_Campo Mourão;-0.19848058320886494;0.8199756918825807;0.19848058320886494
cat__Problema_Falta de acessibilidade ou de atendimento prioritário;-0.19767102516939958;0.8206397785681987;0.19767102516939958
cat__Cidade_Vitória;-0.1967464913521435;0.8213988386295505;0.1967464913521435
cat__Grupo Problema_Atendimento / SAC;0.19437336875392527;1.2145496732081553;0.19437336875392527
cat__Região_NE;-0.19369459768495562;0.8239094897147785;0.19369459768495562
cat__Cidade_Boa Vista;0.193070503651346;1.2129683091992658;0.193070503651346
cat__Cidade_São João de Meriti;-0.1918767381555708;0.8254086036084131;0.1918767381555708
cat__Cidade_Ananindeua;-0.19136505985319135;0.8258310553519552;0.19136505985319135
cat__Cidade_Cabo de Santo Agostinho;0.18987052780794103;1.2090930435960139;0.18987052780794103
cat__Como Comprou Contratou_SMS / Mensagem de texto;-0.18920312074326492;0.8276183831594959;0.18920312074326492
cat__Grupo Problema_Entrega do Produto;0.18346715116606696;1.2013755009791927;0.18346715116606696
cat__Cidade_Rio Grande;0.1826051896264833;1.2003404076721484;0.1826051896264833
cat__Cidade_Ilhéus;-0.18196204321576065;0.8336329818424547;0.18196204321576065
cat__Problema_Não entrega / demora na entrega do produto;0.18162937154138364;1.1991696651028525;0.18162937154138364
cat__Problema_Dificuldade de cancelamento / eliminação de dados / revogação do consentimento;0.17723936790515218;1.1939168442998906;0.17723936790515218
cat__Cidade_Petrolina;0.17667582303583024;1.1932442081360193;0.17667582303583024
cat__UF_RN;0.17611902753833233;1.1925800000647053;0.17611902753833233
cat__Faixa Etária_entre 31 a 40 anos;0.17558813250030433;1.1919470332945452;0.17558813250030433
cat__Cidade_Caxias do Sul;-0.17444171261150399;0.8399258098844364;0.17444171261150399
cat__Cidade_Campinas;-0.1740776063455272;0.8402316878174277;0.1740776063455272
cat__Cidade_Timóteo;-0.17087967557726985;0.8429229915923285;0.17087967557726985
cat__Cidade_Franca;-0.1695631802890751;0.8440334265198657;0.1695631802890751
cat__Cidade_Petrópolis;-0.1677931067651286;0.8455287507679808;0.1677931067651286
cat__Como Comprou Contratou_Internet;0.16764612576022808;1.1825180739130716;0.16764612576022808
cat__UF_MT;-0.16748548449467238;0.8457888942529413;0.16748548449467238
cat__Cidade_Sobral;-0.1674106759649472;0.8458521688432883;0.1674106759649472
cat__Cidade_Americana;0.1669206288518166;1.1816604718377504;0.1669206288518166
cat__Problema_Informações incompletas / inadequadas sobre o serviço;-0.16642273195798363;0.8466882363502132;0.16642273195798363
cat__Cidade_Araçatuba;-0.16031833848960314;0.8518725619727934;0.16031833848960314
cat__Problema_Não entrega de cartão;0.15663524788149105;1.1695689333431463;0.15663524788149105
cat__Assunto_Título de Capitalização;0.15601390361254505;1.168842454109503;0.15601390361254505
cat__Faixa Etária_entre 51 a 60 anos;-0.1553036493384579;0.8561551670595198;0.1553036493384579
cat__Cidade_Várzea Grande;-0.15213124471116576;0.8588755504701105;0.15213124471116576
